Columns,type,n,mean,std,min,25%,50%,75%,max,value 1,value 2,value 3,value 4,value 5,freq 1,freq 2,freq 3,freq 4,freq 5,freq others,freq NA
WeblogInfo_3,Numerical,957.0,1.316614420062696,7.919116867228368,0.0,0.0,0.0,1.0,133.0,0.0,1.0,2.0,3.0,29.0,543.0,350.0,18.0,13.0,4.0,29.0,28733.0
WeblogInfo_4,Numerical,28054.0,3.0156840379268552,3.7256515901602687,1.0,1.0,2.0,3.0,165.0,1.0,2.0,3.0,4.0,5.0,9936.0,7285.0,4065.0,2239.0,1337.0,3192.0,1636.0
WeblogInfo_5,Numerical,28054.0,1.8145006059741926,1.695543456598559,1.0,1.0,1.0,2.0,73.0,1.0,2.0,3.0,4.0,5.0,15959.0,7341.0,2589.0,1016.0,458.0,691.0,1636.0
WeblogInfo_7,Numerical,29690.0,10.62515998652745,15.784613080071752,0.0,2.0,6.0,13.0,722.0,2.0,0.0,3.0,4.0,1.0,3114.0,2990.0,2348.0,2118.0,1922.0,17198.0,0.0
WeblogInfo_8,Numerical,29690.0,0.654024924216908,2.6115075803353984,0.0,0.0,0.0,0.0,81.0,0.0,1.0,2.0,3.0,4.0,25909.0,695.0,691.0,520.0,409.0,1466.0,0.0
WeblogInfo_9,Numerical,29690.0,0.11997305490063995,1.3251004762414342,0.0,0.0,0.0,0.0,46.0,0.0,1.0,2.0,3.0,4.0,29123.0,165.0,74.0,48.0,33.0,247.0,0.0
WeblogInfo_12,Numerical,29690.0,0.01226002020882452,0.4163107090972901,0.0,0.0,0.0,0.0,27.0,0.0,1.0,5.0,4.0,2.0,29643.0,10.0,6.0,5.0,4.0,22.0,0.0
WeblogInfo_14,Numerical,29690.0,0.7632199393735264,4.270318938860501,0.0,0.0,0.0,0.0,335.0,0.0,1.0,2.0,3.0,4.0,26741.0,555.0,364.0,281.0,249.0,1500.0,0.0
WeblogInfo_15,Numerical,29690.0,1.0187942068036375,2.823215379385865,0.0,0.0,0.0,1.0,134.0,0.0,1.0,2.0,3.0,4.0,20920.0,2731.0,2451.0,1069.0,760.0,1759.0,0.0
WeblogInfo_16,Numerical,29690.0,2.6198720107780398,4.634616317776221,0.0,0.0,1.0,3.0,182.0,0.0,2.0,1.0,3.0,4.0,12421.0,4070.0,3807.0,2104.0,1833.0,5455.0,0.0
WeblogInfo_17,Numerical,29690.0,5.344392051195689,8.122855852668463,0.0,1.0,3.0,7.0,356.0,0.0,2.0,1.0,3.0,4.0,6953.0,3891.0,2971.0,2574.0,2340.0,10961.0,0.0
WeblogInfo_18,Numerical,29690.0,1.6421017177500843,3.5012639381756543,0.0,0.0,0.0,2.0,136.0,0.0,1.0,2.0,3.0,4.0,16564.0,3566.0,3537.0,1603.0,1325.0,3095.0,0.0
UserInfo_5,Numerical,29690.0,1.6531828898619063,0.5844097168348934,1.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,,,15979.0,12004.0,1707.0,,,0.0,0.0
UserInfo_6,Numerical,29690.0,1.6534186594813067,0.5832516541220572,1.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,,,16024.0,11978.0,1688.0,,,0.0,0.0
UserInfo_10,Numerical,29690.0,0.3111822162344224,0.6034132065743422,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,,,22674.0,4793.0,2223.0,,,0.0,0.0
UserInfo_14,Numerical,29690.0,3.4176827214550354,1.1705187175842127,0.0,3.0,3.0,4.0,6.0,3.0,4.0,2.0,5.0,6.0,11328.0,6556.0,5676.0,4038.0,1575.0,517.0,0.0
UserInfo_15,Numerical,29690.0,3.4212529471202426,1.1682875211614048,0.0,3.0,3.0,4.0,6.0,3.0,4.0,2.0,5.0,6.0,11375.0,6543.0,5620.0,4086.0,1558.0,508.0,0.0
UserInfo_16,Numerical,29690.0,1.6121926574604244,1.0608611892855258,0.0,1.0,1.0,2.0,6.0,1.0,2.0,6.0,3.0,4.0,17831.0,9329.0,1022.0,779.0,727.0,2.0,0.0
UserInfo_17,Numerical,29690.0,1.128999663186258,0.3352052126811852,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,25860.0,3830.0,,,,0.0,0.0
UserInfo_18,Numerical,29690.0,29.78467497473897,6.423919844801578,0.0,25.0,28.0,33.0,55.0,27.0,25.0,26.0,24.0,28.0,2345.0,2238.0,2204.0,2107.0,2042.0,18754.0,0.0
WeblogInfo_24,Numerical,29439.0,0.35306905805224365,1.306386038001155,0.0,0.0,0.0,0.0,21.0,0.0,1.0,3.0,2.0,4.0,26195.0,1057.0,651.0,489.0,316.0,731.0,251.0
WeblogInfo_27,Numerical,29439.0,0.2368966337171779,0.8793646854588907,0.0,0.0,0.0,0.0,23.0,0.0,1.0,2.0,3.0,4.0,25930.0,2094.0,604.0,305.0,194.0,312.0,251.0
